split,feature,threshold,direction,ret_col,label,n_trades,avg_gross_pct,avg_net_pct,hit_rate,total_net_pct,ann_return_pct,sharpe,max_drawdown_pct,profit_factor,trades_per_year,cost_bps,bars_per_year,secondary_threshold
train,basis_z_24h,1.0,mean_revert,fwd_ret_4h,train/taker/thr=1.0,205,-0.011683154883490804,-0.11168315488349087,0.48292682926829267,-22.89504675111563,-137.93675589022652,-4.301054979753694,-23.602450948677458,0.7040782278801808,1235.0721649484535,10.0,8760,
train,basis_z_24h,1.0,mean_revert,fwd_ret_4h,train/maker/thr=1.0,205,-0.011683154883490804,-0.07168315488349083,0.526829268292683,-14.69504675111562,-88.53386929228833,-2.7606060251228524,-18.59869196345707,0.7995296991560741,1235.0721649484535,6.000000000000001,8760,
train,basis_z_24h,1.5,mean_revert,fwd_ret_4h,train/taker/thr=1.5,109,-0.07026130860383535,-0.17026130860383543,0.44954128440366975,-18.558482637818063,-112.19562676076768,-4.485789919797178,-20.44234814714295,0.6129336209515985,658.9613793103449,10.0,8760,
train,basis_z_24h,1.5,mean_revert,fwd_ret_4h,train/maker/thr=1.5,109,-0.07026130860383535,-0.13026130860383536,0.47706422018348627,-14.198482637818053,-85.83717158835384,-3.43192983694424,-17.74898869417847,0.6888044662361704,658.9613793103449,6.000000000000001,8760,
train,basis_z_24h,2.0,mean_revert,fwd_ret_4h,train/taker/thr=2.0,49,-0.15713212626945539,-0.2571321262694555,0.40816326530612246,-12.599474187203318,-77.28970659553835,-4.032291972509862,-16.063816351052264,0.5043000470496152,300.58362491252626,10.0,8760,
train,basis_z_24h,2.0,mean_revert,fwd_ret_4h,train/maker/thr=2.0,49,-0.15713212626945539,-0.2171321262694555,0.40816326530612246,-10.639474187203318,-65.2663615990373,-3.4050203777836057,-14.948513925018503,0.561395200220412,300.58362491252626,6.000000000000001,8760,
train,basis_z_24h,2.5,mean_revert,fwd_ret_4h,train/taker/thr=2.5,30,-0.19377970301026912,-0.2937797030102692,0.43333333333333335,-8.813391090308077,-54.06451105503191,-4.264460758125615,-11.553002439437742,0.399579055317609,184.03079076277118,10.0,8760,
train,basis_z_24h,2.5,mean_revert,fwd_ret_4h,train/maker/thr=2.5,30,-0.19377970301026912,-0.25377970301026914,0.4666666666666667,-7.613391090308075,-46.70327942452106,-3.683826941094824,-11.02072521924451,0.4574113193335801,184.03079076277118,6.000000000000001,8760,
val,basis_z_24h,1.0,mean_revert,fwd_ret_4h,val/taker/thr=1.0,626,-0.0760571619510838,-0.17605716195108384,0.41214057507987223,-110.2117833813785,-221.53554072945744,-5.700595007578175,-67.70452164910317,0.614283785917313,1258.3159825728044,10.0,8760,
val,basis_z_24h,1.0,mean_revert,fwd_ret_4h,val/maker/thr=1.0,626,-0.0760571619510838,-0.13605716195108383,0.43769968051118213,-85.17178338137848,-171.2029014265452,-4.405425883095288,-59.23536071822234,0.6861294877902127,1258.3159825728044,6.000000000000001,8760,
val,basis_z_24h,1.5,mean_revert,fwd_ret_4h,val/taker/thr=1.5,375,-0.1227625689884538,-0.22276256898845387,0.4026666666666667,-83.5359633706702,-168.45554518226248,-5.629480737038396,-55.91294033740901,0.5446598062712583,756.2111801242236,10.0,8760,
val,basis_z_24h,1.5,mean_revert,fwd_ret_4h,val/maker/thr=1.5,375,-0.1227625689884538,-0.18276256898845383,0.432,-68.53596337067019,-138.2070979772935,-4.618632143829689,-48.804518394819674,0.6077691657291147,756.2111801242236,6.000000000000001,8760,
val,basis_z_24h,2.0,mean_revert,fwd_ret_4h,val/taker/thr=2.0,207,-0.16567909921379928,-0.2656790992137994,0.42028985507246375,-54.99557353725647,-110.90204684324596,-5.103708701028989,-43.36386129523853,0.49641449562873624,417.42857142857144,10.0,8760,
val,basis_z_24h,2.0,mean_revert,fwd_ret_4h,val/maker/thr=2.0,207,-0.16567909921379928,-0.2256790992137993,0.4396135265700483,-46.71557353725646,-94.20490398610309,-4.335306712896395,-38.8428198137124,0.5530359747107958,417.42857142857144,6.000000000000001,8760,
val,basis_z_24h,2.5,mean_revert,fwd_ret_4h,val/taker/thr=2.5,98,-0.09945396034754471,-0.1994539603475448,0.4387755102040816,-19.54648811405939,-39.41672758404523,-2.252971534018278,-18.382888683123554,0.6435544641509525,197.6231884057971,10.0,8760,
val,basis_z_24h,2.5,mean_revert,fwd_ret_4h,val/maker/thr=2.5,98,-0.09945396034754471,-0.15945396034754475,0.45918367346938777,-15.626488114059384,-31.51180004781333,-1.8011436475040123,-15.45880439654047,0.7033625093712733,197.6231884057971,6.000000000000001,8760,
test,basis_z_24h,1.0,mean_revert,fwd_ret_4h,test/taker/thr=1.0,644,0.06453632149097083,-0.03546367850902925,0.4720496894409938,-22.838608959814838,-45.428465201211,-1.0610239647604776,-31.296558485096014,0.9162532059601829,1280.9857045609258,10.0,8760,
test,basis_z_24h,1.0,mean_revert,fwd_ret_4h,test/maker/thr=1.0,644,0.06453632149097083,0.004536321490970791,0.4984472049689441,2.9213910401851892,5.810962981226089,0.13572043330340186,-26.69358395976825,1.0112583871912126,1280.9857045609258,6.000000000000001,8760,
test,basis_z_24h,1.5,mean_revert,fwd_ret_4h,test/taker/thr=1.5,378,0.09910002279921783,-0.000899977200782251,0.49206349206349204,-0.34019138189569087,-0.6765239686246883,-0.02109793737320966,-20.039980802875256,0.9978028609655424,751.7123411978222,10.0,8760,
test,basis_z_24h,1.5,mean_revert,fwd_ret_4h,test/maker/thr=1.5,378,0.09910002279921783,0.039100022799217794,0.5158730158730159,14.779808618104326,29.39196967928823,0.916611922604202,-14.478465225287607,1.1002902281897187,751.7123411978222,6.000000000000001,8760,
test,basis_z_24h,2.0,mean_revert,fwd_ret_4h,test/taker/thr=2.0,203,-0.041159436100786484,-0.14115943610078657,0.4630541871921182,-28.655365528459676,-57.77206398861029,-2.4071009862159674,-33.44910322677206,0.7076679416257493,409.2681692732291,10.0,8760,
test,basis_z_24h,2.0,mean_revert,fwd_ret_4h,test/maker/thr=2.0,203,-0.041159436100786484,-0.10115943610078655,0.4876847290640394,-20.53536552845967,-41.40133721768111,-1.7250067379795773,-29.700335954904354,0.7809416884212195,409.2681692732291,6.000000000000001,8760,
test,basis_z_24h,2.5,mean_revert,fwd_ret_4h,test/taker/thr=2.5,88,-0.003485351175201081,-0.10348535117520118,0.4659090909090909,-9.106710903417703,-18.364257598196364,-1.2513398751798899,-13.91441470368644,0.7562113221822054,177.45755693581782,10.0,8760,
test,basis_z_24h,2.5,mean_revert,fwd_ret_4h,test/maker/thr=2.5,88,-0.003485351175201081,-0.06348535117520111,0.5,-5.586710903417698,-11.26595532076364,-0.7676618044309709,-11.858632070460295,0.8429042857701741,177.45755693581782,6.000000000000001,8760,
train,mom_z_24h,0.5,trend,fwd_ret_4h,train/taker/thr=0.5,1486,-0.0011422133371461155,-0.1011422133371462,0.37415881561238223,-150.29732901899925,-153.8244467227726,-4.086661852617713,-80.24191887585512,0.7190485415496655,1520.872854640981,10.0,8760,
train,mom_z_24h,0.5,trend,fwd_ret_4h,train/maker/thr=0.5,1486,-0.0011422133371461155,-0.06114221333714614,0.40915208613728127,-90.85732901899915,-92.98953253713329,-2.470457611962907,-68.17148524200707,0.8178525235017268,1520.872854640981,6.000000000000001,8760,
train,mom_z_24h,1.0,trend,fwd_ret_4h,train/taker/thr=1.0,832,0.012375070710932135,-0.08762492928906794,0.3798076923076923,-72.90394116850453,-74.69330858848886,-2.3693486322785544,-62.824513822659675,0.7767476318519354,852.4207573632539,10.0,8760,
train,mom_z_24h,1.0,trend,fwd_ret_4h,train/maker/thr=1.0,832,0.012375070710932135,-0.04762492928906791,0.4098557692307692,-39.62394116850451,-40.59647829395869,-1.2877620785423427,-51.495839860692584,0.870709511810607,852.4207573632539,6.000000000000001,8760,
train,mom_z_24h,1.5,trend,fwd_ret_4h,train/taker/thr=1.5,458,0.09086948349389987,-0.009130516506100226,0.37554585152838427,-4.181776559793904,-4.285917610563938,-0.16773864748233977,-33.98831065279949,0.9762243052457422,469.4058225184146,10.0,8760,
train,mom_z_24h,1.5,trend,fwd_ret_4h,train/maker/thr=1.5,458,0.09086948349389987,0.030869483493899782,0.39737991266375544,14.1382234402061,14.490315290172651,0.5671098021985573,-23.580963218621232,1.0858359355641505,469.4058225184146,6.000000000000001,8760,
train,mom_z_24h,2.0,trend,fwd_ret_4h,train/taker/thr=2.0,254,0.12804543258528656,0.028045432585286488,0.4094488188976378,7.123539876662768,7.300941255562472,0.3623696174134038,-17.34410920882211,1.0724693455376582,260.32549982462297,10.0,8760,
